                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.94214,                0.81979,                 1.3412,                0.80466,                0.72585,                0.78566,                0.48412,                 1.5218,                 1.2671,                 1.9413,               0.006634,               0.006634,               0.006634
                     37,                0.94147,                0.82186,                 1.3436,                0.81275,                0.72846,                0.79732,                0.48512,                 1.5151,                 1.1983,                 1.9093,               0.006535,               0.006535,               0.006535
                     38,                0.93818,                0.81147,                 1.3389,                0.73696,                0.79009,                0.79857,                0.48245,                  1.539,                 1.2182,                 1.9507,               0.006436,               0.006436,               0.006436
                     39,                0.92942,                0.79864,                 1.3333,                0.81889,                0.75731,                0.80794,                0.49445,                  1.566,                 1.1769,                 1.9941,               0.006337,               0.006337,               0.006337
                     40,                0.92731,                0.78273,                 1.3292,                0.75068,                0.78374,                0.82673,                0.50861,                 1.5152,                 1.1416,                 1.9402,               0.006238,               0.006238,               0.006238
                     41,                 0.9232,                0.78528,                 1.3253,                   0.78,                0.75292,                  0.799,                0.48542,                 1.5319,                 1.1776,                  1.958,               0.006139,               0.006139,               0.006139
                     42,                0.92282,                  0.777,                 1.3242,                0.83331,                  0.744,                0.78921,                0.48871,                 1.5124,                 1.1145,                  1.937,                0.00604,                0.00604,                0.00604
                     43,                0.91105,                0.77161,                 1.3224,                 0.8069,                0.79162,                0.80409,                 0.4959,                  1.514,                 1.1229,                 1.9508,               0.005941,               0.005941,               0.005941
                     44,                0.91995,                0.77899,                 1.3191,                0.82852,                0.74084,                0.79046,                0.47974,                 1.5433,                  1.177,                 1.9847,               0.005842,               0.005842,               0.005842
                     45,                0.91216,                0.76758,                 1.3196,                0.81113,                0.75943,                0.82087,                0.50445,                 1.5329,                 1.1665,                 1.9613,               0.005743,               0.005743,               0.005743
                     46,                0.90895,                0.75656,                 1.3102,                0.81922,                0.77226,                0.80204,                0.49369,                 1.5525,                 1.1482,                  1.979,               0.005644,               0.005644,               0.005644
                     47,                0.89931,                 0.7616,                 1.3083,                0.77715,                0.77817,                0.77013,                0.46877,                 1.5365,                 1.1469,                 1.9505,               0.005545,               0.005545,               0.005545
                     48,                0.90615,                0.76023,                 1.3078,                0.80773,                0.74484,                0.79404,                0.49203,                 1.5211,                  1.146,                 1.9335,               0.005446,               0.005446,               0.005446
                     49,                0.89924,                0.75051,                 1.3066,                0.78849,                0.76735,                0.79059,                0.49071,                 1.5281,                 1.1515,                 1.9455,               0.005347,               0.005347,               0.005347
                     50,                0.89643,                0.74504,                 1.3066,                0.79249,                 0.7702,                 0.7854,                0.49318,                 1.5145,                 1.1348,                 1.9331,               0.005248,               0.005248,               0.005248
                     51,                0.89642,                0.73421,                 1.3042,                0.80402,                0.76362,                0.80665,                 0.5093,                 1.5079,                 1.0893,                 1.9322,               0.005149,               0.005149,               0.005149
                     52,                0.88656,                0.73324,                 1.2987,                0.80155,                0.76149,                0.80408,                0.50999,                 1.5229,                 1.1187,                 1.9579,                0.00505,                0.00505,                0.00505
                     53,                0.88412,                 0.7272,                 1.2978,                0.77913,                 0.8049,                0.81142,                0.50413,                 1.5269,                 1.1401,                 1.9736,               0.004951,               0.004951,               0.004951
                     54,                0.88498,                0.72783,                 1.2924,                0.82601,                0.79309,                0.84636,                0.52723,                  1.534,                 1.1292,                 1.9802,               0.004852,               0.004852,               0.004852
                     55,                0.88405,                0.72623,                 1.2908,                0.77375,                0.80676,                0.81969,                0.51228,                 1.5375,                 1.1436,                  1.984,               0.004753,               0.004753,               0.004753
                     56,                0.87864,                0.71446,                  1.292,                0.78793,                0.76691,                0.79161,                0.49741,                 1.5394,                 1.1214,                 1.9876,               0.004654,               0.004654,               0.004654
                     57,                0.87204,                0.71481,                 1.2882,                0.78103,                0.79704,                0.80579,                0.50211,                 1.5245,                 1.0813,                 1.9701,               0.004555,               0.004555,               0.004555
                     58,                0.86734,                0.70106,                 1.2811,                0.78937,                0.77724,                0.81635,                0.51537,                 1.5129,                 1.0864,                 1.9581,               0.004456,               0.004456,               0.004456
                     59,                0.87118,                0.69829,                 1.2866,                0.78221,                0.78921,                 0.8014,                0.51064,                 1.5154,                  1.096,                 1.9567,               0.004357,               0.004357,               0.004357
                     60,                0.87094,                0.70856,                 1.2834,                0.77224,                0.76919,                0.78018,                0.49444,                 1.5271,                 1.1046,                  1.968,               0.004258,               0.004258,               0.004258
                     61,                0.85829,                0.69289,                 1.2733,                0.76831,                0.77291,                0.79188,                0.50143,                 1.5257,                 1.1081,                 1.9672,               0.004159,               0.004159,               0.004159
                     62,                0.85544,                0.69173,                 1.2728,                0.78528,                 0.7647,                0.79469,                0.50522,                 1.5362,                 1.1165,                 1.9828,                0.00406,                0.00406,                0.00406
                     63,                 0.8589,                0.69038,                 1.2726,                0.77798,                0.76633,                0.80394,                0.51566,                 1.5425,                 1.1263,                 1.9958,               0.003961,               0.003961,               0.003961
                     64,                0.84903,                 0.6803,                  1.271,                0.79105,                0.76652,                0.80817,                0.51795,                 1.5356,                 1.1121,                 1.9901,               0.003862,               0.003862,               0.003862
                     65,                0.85409,                0.67679,                 1.2732,                 0.7985,                0.76375,                0.80651,                0.51442,                 1.5337,                 1.1105,                  1.983,               0.003763,               0.003763,               0.003763
                     66,                0.84492,                0.67307,                 1.2612,                0.80154,                 0.7577,                0.81652,                0.52269,                 1.5312,                  1.104,                 1.9832,               0.003664,               0.003664,               0.003664
                     67,                 0.8494,                0.67478,                 1.2682,                0.81326,                  0.744,                0.82468,                0.53548,                 1.5296,                  1.108,                 1.9858,               0.003565,               0.003565,               0.003565
                     68,                0.83979,                0.66326,                 1.2619,                0.81348,                0.75741,                0.82422,                0.53344,                 1.5267,                 1.1085,                 1.9846,               0.003466,               0.003466,               0.003466
                     69,                0.83356,                0.65736,                 1.2552,                0.80544,                0.75695,                0.81444,                0.53004,                 1.5279,                 1.1053,                 1.9886,               0.003367,               0.003367,               0.003367
                     70,                0.83527,                0.65593,                 1.2539,                0.77843,                0.79574,                0.80472,                0.51965,                 1.5303,                  1.104,                 1.9922,               0.003268,               0.003268,               0.003268
                     71,                0.82937,                0.64699,                 1.2526,                0.77275,                0.79381,                0.78662,                0.50471,                 1.5326,                 1.1096,                 1.9968,               0.003169,               0.003169,               0.003169
                     72,                0.82447,                0.64577,                  1.249,                0.79194,                0.77732,                0.77916,                0.49908,                 1.5353,                 1.1135,                 2.0006,                0.00307,                0.00307,                0.00307
                     73,                0.82013,                0.65118,                 1.2513,                0.79269,                0.77928,                0.77794,                0.49958,                  1.533,                  1.112,                 1.9973,               0.002971,               0.002971,               0.002971
                     74,                0.81403,                0.64243,                 1.2474,                0.78829,                0.79279,                 0.7822,                0.50295,                 1.5307,                 1.1112,                 1.9981,               0.002872,               0.002872,               0.002872
                     75,                0.81512,                0.63971,                 1.2443,                0.79226,                0.79411,                 0.7825,                0.50357,                 1.5331,                 1.1151,                 2.0031,               0.002773,               0.002773,               0.002773
                     76,                0.81382,                0.63287,                 1.2422,                0.79057,                0.79654,                0.78087,                0.50179,                 1.5309,                 1.1114,                  2.001,               0.002674,               0.002674,               0.002674
                     77,                0.81208,                0.62568,                 1.2389,                0.79814,                0.78625,                0.78106,                 0.5024,                 1.5334,                  1.112,                  2.004,               0.002575,               0.002575,               0.002575
